,song,link,album,year,artist
0,Forever In Love,../lyrics/a1/foreverinlove.html,Here We Come,1999,A1
1,Be The First To Believe,../lyrics/a1/bethefirsttobelieve.html,Here We Come,1999,A1
2,Summertime Of Our Lives,../lyrics/a1/summertimeofourlives.html,Here We Come,1999,A1
3,Ready Or Not,../lyrics/a1/readyornot.html,Here We Come,1999,A1
4,Everytime,../lyrics/a1/everytime.html,Here We Come,1999,A1
5,If Only,../lyrics/a1/ifonly.html,Here We Come,1999,A1
6,Hey You,../lyrics/a1/heyyou.html,Here We Come,1999,A1
7,Like A Rose,../lyrics/a1/likearose.html,Here We Come,1999,A1
8,Walking In The Rain,../lyrics/a1/walkingintherain.html,Here We Come,1999,A1
9,Still Around,../lyrics/a1/stillaround.html,Here We Come,1999,A1
10,I Still Believe,../lyrics/a1/istillbelieve.html,Here We Come,1999,A1
11,Heaven By Your Side,../lyrics/a1/heavenbyyourside.html,Here We Come,1999,A1
12,,,Here We Come,1999,A1
13,Take On  Me,../lyrics/a1/takeonme.html,The A List,2000,A1
14,Same Old Brand New You,../lyrics/a1/sameoldbrandnewyou.html,The A List,2000,A1
15,No More,../lyrics/a1/nomore.html,The A List,2000,A1
16,One More Try,../lyrics/a1/onemoretry.html,The A List,2000,A1
17,The Things We Never Did,../lyrics/a1/thethingsweneverdid.html,The A List,2000,A1
18,Too Bad Baby,../lyrics/a1/toobadbaby.html,The A List,2000,A1
19,Nothing But Trouble,../lyrics/a1/nothingbuttrouble.html,The A List,2000,A1
20,Tomorrow,../lyrics/a1/tomorrow.html,The A List,2000,A1
21,She Didn't See Me,../lyrics/a1/shedidntseeme.html,The A List,2000,A1
22,Scared,../lyrics/a1/scared.html,The A List,2000,A1
23,Celebrate Our Love,../lyrics/a1/celebrateourlove.html,The A List,2000,A1
24,Livin' The Dream,../lyrics/a1/livinthedream.html,The A List,2000,A1
25,I Wonder Why,../lyrics/a1/iwonderwhy.html,The A List,2000,A1
26,I'll Take The Tear,../lyrics/a1/illtakethetear.html,The A List,2000,A1
27,One In Love,../lyrics/a1/oneinlove.html,The A List,2000,A1
28,,,The A List,2000,A1
29,Caught In The Middle,../lyrics/a1/caughtinthemiddle.html,Make It Good,2002,A1
30,Make It Good,../lyrics/a1/makeitgood.html,Make It Good,2002,A1
31,Here Comes The Rain,../lyrics/a1/herecomestherain.html,Make It Good,2002,A1
32,When I'm Missing You,../lyrics/a1/whenimmissingyou.html,Make It Good,2002,A1
33,This Ain't What Love Is About,../lyrics/a1/thisaintwhatloveisabout.html,Make It Good,2002,A1
34,Crazy For Leaving You,../lyrics/a1/crazyforleavingyou.html,Make It Good,2002,A1
35,Learn To Fly,../lyrics/a1/learntofly.html,Make It Good,2002,A1
36,Isn't It Cheap,../lyrics/a1/isntitcheap.html,Make It Good,2002,A1
37,If I Can't Have You,../lyrics/a1/ificanthaveyou.html,Make It Good,2002,A1
38,Make It Through The Night,../lyrics/a1/makeitthroughthenight.html,Make It Good,2002,A1
39,Cherish This Love,../lyrics/a1/cherishthislove.html,Make It Good,2002,A1
40,Do You Remember?,../lyrics/a1/doyouremember.html,Make It Good,2002,A1
41,One Last Song,../lyrics/a1/onelastsong.html,Make It Good,2002,A1
42,Let It Out,../lyrics/a1/letitout.html,Make It Good,2002,A1
